Numer of labeled samples:15347   AUC:0.995
Numer of labeled samples:15318   AUC:0.997
Numer of labeled samples:15303   AUC:0.997
Numer of labeled samples:15334   AUC:0.998
Numer of labeled samples:15338   AUC:0.997
Numer of labeled samples:15323   AUC:0.999
Numer of labeled samples:15343   AUC:0.997
Numer of labeled samples:15309   AUC:0.999
Numer of labeled samples:15335   AUC:0.998
Numer of labeled samples:15309   AUC:0.999
Numer of labeled samples:15321   AUC:0.998
Numer of labeled samples:15328   AUC:0.999
Numer of labeled samples:15339   AUC:0.996
Numer of labeled samples:15298   AUC:0.998
Numer of labeled samples:15330   AUC:0.998
Numer of labeled samples:15346   AUC:0.998
Numer of labeled samples:15320   AUC:0.998
Numer of labeled samples:15307   AUC:0.998
Numer of labeled samples:15331   AUC:0.998
Numer of labeled samples:15325   AUC:0.999
Numer of labeled samples:15326   AUC:0.998
Numer of labeled samples:15342   AUC:0.997
Numer of labeled samples:15338   AUC:0.997
Numer of labeled samples:15325   AUC:0.999
Numer of labeled samples:15327   AUC:0.996
Numer of labeled samples:15304   AUC:0.999
Numer of labeled samples:15339   AUC:0.998
Numer of labeled samples:15357   AUC:0.997
Numer of labeled samples:15308   AUC:0.999
Numer of labeled samples:15303   AUC:0.998
Numer of labeled samples:15315   AUC:0.999
Numer of labeled samples:15339   AUC:0.998
Numer of labeled samples:15334   AUC:0.997
Numer of labeled samples:15337   AUC:0.999
Numer of labeled samples:15310   AUC:0.998
Numer of labeled samples:15343   AUC:0.998
Numer of labeled samples:15312   AUC:0.999
Numer of labeled samples:15333   AUC:0.998
Numer of labeled samples:15310   AUC:0.999
Numer of labeled samples:15335   AUC:0.998
Numer of labeled samples:15336   AUC:0.997
Numer of labeled samples:15305   AUC:0.999
Numer of labeled samples:15310   AUC:0.997
Numer of labeled samples:15295   AUC:0.999
Numer of labeled samples:15342   AUC:0.998
Numer of labeled samples:15327   AUC:0.999
Numer of labeled samples:15342   AUC:0.998
Numer of labeled samples:15318   AUC:0.999
Numer of labeled samples:15345   AUC:0.998
Numer of labeled samples:15330   AUC:0.999
Numer of labeled samples:15311   AUC:0.998
Numer of labeled samples:15322   AUC:0.999
Numer of labeled samples:15317   AUC:0.999
Numer of labeled samples:15330   AUC:0.999
Numer of labeled samples:15322   AUC:0.999
Numer of labeled samples:15325   AUC:0.999
Numer of labeled samples:15342   AUC:0.999
Numer of labeled samples:15347   AUC:0.999
Numer of labeled samples:15346   AUC:0.999
Numer of labeled samples:15344   AUC:0.999
Numer of labeled samples:15345   AUC:0.997
Numer of labeled samples:15321   AUC:0.999
Numer of labeled samples:15334   AUC:0.998
Numer of labeled samples:15336   AUC:0.999
Numer of labeled samples:15359   AUC:0.998
Numer of labeled samples:15332   AUC:0.999
Numer of labeled samples:15357   AUC:0.998
Numer of labeled samples:15307   AUC:0.999
Numer of labeled samples:15362   AUC:0.999
Numer of labeled samples:15358   AUC:0.999
Numer of labeled samples:15330   AUC:0.998
Numer of labeled samples:15298   AUC:0.999
Numer of labeled samples:15319   AUC:0.999
Numer of labeled samples:15335   AUC:0.999
Numer of labeled samples:15354   AUC:0.997
Numer of labeled samples:15334   AUC:0.999
Numer of labeled samples:15349   AUC:0.999
Numer of labeled samples:15357   AUC:0.998
Numer of labeled samples:15334   AUC:0.998
Numer of labeled samples:15322   AUC:0.998
Numer of labeled samples:15336   AUC:0.998
Numer of labeled samples:15327   AUC:0.999
Numer of labeled samples:15334   AUC:0.998
Numer of labeled samples:15335   AUC:0.999
Numer of labeled samples:15341   AUC:0.999
Numer of labeled samples:15335   AUC:0.999
Numer of labeled samples:15335   AUC:0.998
Numer of labeled samples:15331   AUC:0.999
Numer of labeled samples:15346   AUC:0.998
Numer of labeled samples:15296   AUC:0.999
Numer of labeled samples:15347   AUC:0.998
Numer of labeled samples:15331   AUC:0.999
Numer of labeled samples:15332   AUC:0.999
Numer of labeled samples:15309   AUC:0.999
Numer of labeled samples:15346   AUC:0.997
Numer of labeled samples:15319   AUC:0.999
Numer of labeled samples:15350   AUC:0.998
Numer of labeled samples:15325   AUC:0.999
Numer of labeled samples:15359   AUC:0.998
