Numer of labeled samples:12793   AUC:0.956
Numer of labeled samples:13269   AUC:0.956
Numer of labeled samples:12837   AUC:0.956
Numer of labeled samples:12445   AUC:0.962
Numer of labeled samples:12769   AUC:0.959
Numer of labeled samples:13032   AUC:0.957
Numer of labeled samples:12537   AUC:0.959
Numer of labeled samples:12115   AUC:0.959
Numer of labeled samples:13115   AUC:0.959
Numer of labeled samples:12226   AUC:0.963
Numer of labeled samples:12404   AUC:0.959
Numer of labeled samples:12084   AUC:0.964
Numer of labeled samples:12299   AUC:0.955
Numer of labeled samples:12442   AUC:0.960
Numer of labeled samples:12465   AUC:0.955
Numer of labeled samples:12325   AUC:0.959
Numer of labeled samples:12086   AUC:0.960
Numer of labeled samples:12809   AUC:0.958
Numer of labeled samples:12432   AUC:0.960
Numer of labeled samples:12157   AUC:0.961
Numer of labeled samples:12227   AUC:0.963
Numer of labeled samples:11967   AUC:0.962
Numer of labeled samples:12066   AUC:0.961
Numer of labeled samples:12852   AUC:0.960
Numer of labeled samples:12446   AUC:0.961
Numer of labeled samples:12611   AUC:0.959
Numer of labeled samples:12366   AUC:0.967
Numer of labeled samples:11733   AUC:0.966
Numer of labeled samples:12041   AUC:0.968
Numer of labeled samples:11679   AUC:0.964
Numer of labeled samples:11586   AUC:0.965
Numer of labeled samples:12980   AUC:0.959
Numer of labeled samples:11639   AUC:0.962
Numer of labeled samples:11668   AUC:0.966
Numer of labeled samples:11526   AUC:0.965
Numer of labeled samples:11596   AUC:0.965
Numer of labeled samples:11298   AUC:0.966
Numer of labeled samples:11451   AUC:0.965
Numer of labeled samples:11123   AUC:0.963
Numer of labeled samples:11322   AUC:0.965
Numer of labeled samples:11035   AUC:0.965
Numer of labeled samples:11220   AUC:0.967
Numer of labeled samples:10937   AUC:0.967
Numer of labeled samples:11176   AUC:0.965
Numer of labeled samples:10937   AUC:0.966
Numer of labeled samples:10926   AUC:0.967
Numer of labeled samples:10794   AUC:0.966
Numer of labeled samples:11025   AUC:0.967
Numer of labeled samples:10936   AUC:0.967
Numer of labeled samples:10863   AUC:0.968
Numer of labeled samples:10768   AUC:0.967
Numer of labeled samples:10753   AUC:0.968
Numer of labeled samples:10856   AUC:0.967
Numer of labeled samples:10670   AUC:0.967
Numer of labeled samples:11004   AUC:0.966
Numer of labeled samples:10807   AUC:0.968
Numer of labeled samples:10711   AUC:0.967
Numer of labeled samples:10791   AUC:0.969
Numer of labeled samples:10763   AUC:0.968
Numer of labeled samples:10745   AUC:0.968
Numer of labeled samples:10714   AUC:0.967
Numer of labeled samples:10730   AUC:0.969
Numer of labeled samples:10735   AUC:0.967
Numer of labeled samples:10781   AUC:0.968
Numer of labeled samples:10710   AUC:0.968
Numer of labeled samples:10775   AUC:0.969
Numer of labeled samples:10677   AUC:0.968
Numer of labeled samples:10590   AUC:0.968
Numer of labeled samples:10699   AUC:0.967
Numer of labeled samples:10751   AUC:0.970
Numer of labeled samples:10578   AUC:0.967
Numer of labeled samples:11290   AUC:0.967
Numer of labeled samples:10585   AUC:0.968
Numer of labeled samples:10645   AUC:0.969
Numer of labeled samples:10636   AUC:0.967
Numer of labeled samples:10604   AUC:0.969
Numer of labeled samples:10552   AUC:0.968
Numer of labeled samples:10540   AUC:0.968
Numer of labeled samples:10467   AUC:0.967
Numer of labeled samples:10469   AUC:0.969
Numer of labeled samples:10506   AUC:0.968
Numer of labeled samples:10402   AUC:0.968
Numer of labeled samples:10449   AUC:0.969
Numer of labeled samples:10402   AUC:0.968
Numer of labeled samples:10384   AUC:0.968
Numer of labeled samples:10476   AUC:0.968
Numer of labeled samples:10452   AUC:0.969
Numer of labeled samples:10440   AUC:0.967
Numer of labeled samples:10275   AUC:0.967
Numer of labeled samples:10397   AUC:0.968
Numer of labeled samples:10301   AUC:0.966
Numer of labeled samples:10227   AUC:0.969
Numer of labeled samples:10435   AUC:0.967
Numer of labeled samples:11169   AUC:0.963
Numer of labeled samples:10242   AUC:0.968
Numer of labeled samples:10546   AUC:0.968
Numer of labeled samples:10323   AUC:0.968
Numer of labeled samples:10263   AUC:0.970
Numer of labeled samples:10279   AUC:0.970
Numer of labeled samples:10281   AUC:0.968
Numer of labeled samples:10194   AUC:0.967
Numer of labeled samples:10270   AUC:0.970
Numer of labeled samples:10278   AUC:0.969
Numer of labeled samples:10287   AUC:0.969
Numer of labeled samples:10380   AUC:0.970
Numer of labeled samples:10228   AUC:0.969
Numer of labeled samples:10240   AUC:0.971
Numer of labeled samples:10220   AUC:0.971
Numer of labeled samples:10221   AUC:0.970
Numer of labeled samples:10228   AUC:0.971
Numer of labeled samples:10231   AUC:0.970
Numer of labeled samples:10267   AUC:0.969
Numer of labeled samples:10501   AUC:0.964
Numer of labeled samples:10200   AUC:0.969
Numer of labeled samples:10246   AUC:0.970
Numer of labeled samples:10213   AUC:0.971
Numer of labeled samples:10128   AUC:0.969
Numer of labeled samples:10181   AUC:0.972
Numer of labeled samples:10162   AUC:0.969
Numer of labeled samples:10168   AUC:0.972
Numer of labeled samples:10278   AUC:0.961
Numer of labeled samples:10143   AUC:0.971
Numer of labeled samples:10144   AUC:0.970
Numer of labeled samples:10156   AUC:0.971
Numer of labeled samples:10159   AUC:0.969
Numer of labeled samples:10147   AUC:0.971
Numer of labeled samples:10157   AUC:0.971
Numer of labeled samples:10167   AUC:0.971
Numer of labeled samples:10124   AUC:0.969
Numer of labeled samples:10161   AUC:0.971
Numer of labeled samples:10141   AUC:0.969
Numer of labeled samples:10190   AUC:0.971
Numer of labeled samples:10152   AUC:0.971
Numer of labeled samples:10136   AUC:0.973
Numer of labeled samples:10175   AUC:0.970
Numer of labeled samples:10150   AUC:0.969
Numer of labeled samples:10170   AUC:0.967
Numer of labeled samples:10150   AUC:0.970
Numer of labeled samples:10170   AUC:0.972
Numer of labeled samples:10105   AUC:0.971
Numer of labeled samples:10156   AUC:0.970
Numer of labeled samples:10156   AUC:0.973
Numer of labeled samples:10138   AUC:0.969
Numer of labeled samples:10153   AUC:0.968
Numer of labeled samples:10168   AUC:0.973
Numer of labeled samples:10319   AUC:0.965
Numer of labeled samples:10185   AUC:0.969
Numer of labeled samples:10120   AUC:0.969
Numer of labeled samples:10154   AUC:0.970
Numer of labeled samples:10144   AUC:0.970
Numer of labeled samples:10156   AUC:0.967
Numer of labeled samples:10131   AUC:0.971
Numer of labeled samples:10160   AUC:0.969
Numer of labeled samples:10109   AUC:0.968
Numer of labeled samples:10117   AUC:0.969
Numer of labeled samples:10153   AUC:0.970
Numer of labeled samples:10120   AUC:0.972
Numer of labeled samples:10117   AUC:0.969
Numer of labeled samples:10114   AUC:0.969
Numer of labeled samples:10834   AUC:0.959
Numer of labeled samples:10118   AUC:0.968
Numer of labeled samples:10119   AUC:0.971
Numer of labeled samples:10217   AUC:0.966
Numer of labeled samples:10237   AUC:0.968
Numer of labeled samples:10110   AUC:0.969
Numer of labeled samples:10101   AUC:0.968
Numer of labeled samples:10363   AUC:0.961
Numer of labeled samples:10201   AUC:0.967
Numer of labeled samples:10143   AUC:0.972
Numer of labeled samples:10124   AUC:0.972
Numer of labeled samples:10129   AUC:0.968
Numer of labeled samples:10118   AUC:0.972
Numer of labeled samples:10123   AUC:0.969
Numer of labeled samples:10144   AUC:0.972
Numer of labeled samples:10124   AUC:0.971
Numer of labeled samples:10138   AUC:0.970
Numer of labeled samples:10185   AUC:0.970
Numer of labeled samples:10163   AUC:0.972
Numer of labeled samples:10165   AUC:0.967
Numer of labeled samples:10152   AUC:0.968
Numer of labeled samples:10178   AUC:0.972
Numer of labeled samples:10130   AUC:0.967
Numer of labeled samples:10169   AUC:0.969
Numer of labeled samples:10131   AUC:0.966
Numer of labeled samples:10142   AUC:0.966
Numer of labeled samples:10138   AUC:0.967
Numer of labeled samples:10122   AUC:0.968
Numer of labeled samples:10125   AUC:0.966
Numer of labeled samples:10137   AUC:0.970
Numer of labeled samples:10144   AUC:0.971
Numer of labeled samples:10117   AUC:0.968
Numer of labeled samples:10176   AUC:0.971
Numer of labeled samples:10158   AUC:0.968
Numer of labeled samples:10179   AUC:0.970
Numer of labeled samples:10139   AUC:0.969
Numer of labeled samples:10153   AUC:0.967
Numer of labeled samples:10158   AUC:0.967
Numer of labeled samples:10117   AUC:0.968
Numer of labeled samples:10117   AUC:0.969
Numer of labeled samples:10153   AUC:0.966
Numer of labeled samples:10145   AUC:0.968
